time,true_position,true_velocity,S1,S2,S3,fault_S1,fault_S2,fault_S3,truebias_S1,truevar_S1,clean_S1,truebias_S2,truevar_S2,clean_S2,truebias_S3,truevar_S3,clean_S3
0,-0.01564338573,0.9621510561,0.1899078575,0.03870293893,0.07019501944,0,0,0,0,0.01,-0.01564338573,0,0.0225,-0.01564338573,0,0.04,-0.01564338573
0.01,-0.006093009945,0.9541283651,-0.1775270871,0.03966666521,0.2543266555,0,0,0,0,0.01,-0.006093009945,0,0.0225,-0.006093009945,0,0.04,-0.006093009945
0.02,0.003293016969,0.9371907459,0.1113240705,-0.1208245019,-0.09173728541,0,0,0,0,0.01,0.003293016969,0,0.0225,0.003293016969,0,0.04,0.003293016969
0.03,0.01278527829,0.9704677995,-0.1380547931,-0.1857004378,-0.09415751506,0,0,0,0,0.01,0.01278527829,0,0.0225,0.01278527829,0,0.04,0.01278527829
0.04,0.02262253113,0.9809244397,-0.02981392132,-0.02224391745,0.3407122807,0,0,0,0,0.01,0.02262253113,0,0.0225,0.02262253113,0,0.04,0.02262253113
0.05,0.03233384399,0.9636510709,0.03710714491,0.1999441773,-0.01985788176,0,0,0,0,0.01,0.03233384399,0,0.0225,0.03233384399,0,0.04,0.03233384399
0.06,0.0419078956,0.9652974632,0.07764488293,0.2963845974,0.1746452131,0,0,0,0,0.01,0.0419078956,0,0.0225,0.0419078956,0,0.04,0.0419078956
0.07,0.0515246273,0.9607719046,-0.08479341876,0.07193001499,-0.3532904541,0,0,0,0,0.01,0.0515246273,0,0.0225,0.0515246273,0,0.04,0.0515246273
0.08,0.0611574632,0.960161454,0.03094495812,0.3503218896,-0.05273078016,0,0,0,0,0.01,0.0611574632,0,0.0225,0.0611574632,0,0.04,0.0611574632
0.09,0.07058609655,0.9454337342,0.1705691767,-0.04370314366,-0.08360696539,0,0,0,0,0.01,0.07058609655,0,0.0225,0.07058609655,0,0.04,0.07058609655
0.1,0.08007265054,0.9599810688,0.05488344364,0.2013868452,0.1174635469,0,0,0,0,0.01,0.08007265054,0,0.0225,0.08007265054,0,0.04,0.08007265054
0.11,0.08955913727,0.9474862811,0.04713827345,-0.1066392599,0.03832483042,0,0,0,0,0.01,0.08955913727,0,0.0225,0.08955913727,0,0.04,0.08955913727
0.12,0.09908709684,0.9622333228,0.04958413894,0.1576710954,0.1488224073,0,0,0,0,0.01,0.09908709684,0,0.0225,0.09908709684,0,0.04,0.09908709684
0.13,0.1087357782,0.968514689,0.1416295123,0.1945803398,-0.0960800738,0,0,0,0,0.01,0.1087357782,0,0.0225,0.1087357782,0,0.04,0.1087357782
0.14,0.1184007901,0.9708850804,0.2554369448,0.1470612281,0.100674315,0,0,0,0,0.01,0.1184007901,0,0.0225,0.1184007901,0,0.04,0.1184007901
0.15,0.1284716062,1.021256389,0.05671211247,0.1893451798,0.2239770164,0,0,0,0,0.01,0.1284716062,0,0.0225,0.1284716062,0,0.04,0.1284716062
0.16,0.1387469007,1.035618075,0.2139514198,0.04774731415,0.2682425851,0,0,0,0,0.01,0.1387469007,0,0.0225,0.1387469007,0,0.04,0.1387469007
